country,top_word,iso_code
United States,love,USA
Canada,love,CAN
United Kingdom,love,GBR
Australia,love,AUS
Finland,ja,FIN
Senegal,know,SEN
Romania,să,ROU
Jamaica,mi,JAM
Ireland,love,IRL
Germany,love,DEU
Italy,che,ITA
Sweden,jag,SWE
France,cest,FRA
Colombia,el,COL
Belgium,ik,BEL
New Zealand,love,NZL
Japan,ni,JPN
Denmark,jeg,DNK
South Africa,ek,ZAF
Brazil,não,BRA
Bermuda,love,BMU
South Sudan,ah,SSD
South Korea,love,KOR
Czech Republic,na,CZE
Trinidad and Tobago,ah,TTO
Norway,og,NOR
Switzerland,love,CHE
Netherlands,ik,NLD
Ghana,dey,GHA
Austria,mehr,AUT
Spain,el,ESP
Barbados,oh,BRB
Ukraine,like,UKR
Bosnia and Herzegovina,ja,BIH
Estonia,ja,EST
Pakistan,hai,PAK
Ivory Coast,oh,CIV
Israel,know,ISR
Bahamas,love,BHS
Slovenia,na,SVN
Morocco,love,MAR
Turkey,bir,TUR
Singapore,love,SGP
Nigeria,dey,NGA
Mexico,el,MEX
Samoa,love,WSM
Chile,el,CHL
India,hai,IND
Argentina,el,ARG
Poland,nie,POL
Iceland,know,ISL
Portugal,não,PRT
Slovakia,na,SVK
Moldova,know,MDA
Serbia,sam,SRB
Cuba,el,CUB
Russia,всё,RUS
Malaysia,ku,MYS
Greece,νalpha,GRC
Venezuela,el,VEN
Algeria,يا,DZA
Iran,تو,IRN
Panama,yo,PAN
Lithuania,ir,LTU
China,nie,CHN
Kenya,na,KEN
Saint Vincent and The Grenadines,yea,VCT
Haiti,mwen,HTI
Dominican Republic,mi,DOM
Indonesia,yang,IDN
Monaco,love,MCO
Croatia,ja,HRV
Belarus,life,BLR
Armenia,ու,ARM
Hungary,az,HUN
Azerbaijan,bi,AZE
Congo,ça,COG
Macedonia,се,MKD
Philippines,ang,PHL
Cameroon,na,CMR
Uruguay,el,URY
Uganda,love,UGA
Vietnam,em,VNM
Taiwan,love,TWN
Isle of Man,oh,IMN
Thailand,ไม,THA
Kazakhstan,ty,KAZ
Jersey,infinity,JEY
Mali,comme,MLI
Albania,në,ALB
San Marino,che,SMR
Lebanon,ما,LBN
Faroe Islands,one,FRO
Costa Rica,mi,CRI
Georgia,νalpha,GEO
Latvia,ir,LVA
Ecuador,mi,ECU
Angola,não,AGO
Peru,el,PER
Guatemala,el,GTM
Gibraltar,el,GIB
Malta,like,MLT
Luxembourg,know,LUX
Egypt,في,EGY
Cyprus,oh,CYP
Iraq,di,IRQ
Nicaragua,el,NIC
Zambia,ill,ZMB
Belize,ya,BLZ
Bolivia,el,BOL
Guyana,far,GUY
Bangladesh,আম,BGD
Mozambique,mirror,MOZ
Tunisia,let,TUN
Anguilla,let,AIA
United Arab Emirates,life,ARE
Zimbabwe,like,ZWE
Bulgaria,see,BGR
Oman,enough,OMN
Liberia,annabella,LBR
Liechtenstein,come,LIE
Bahrain,dread,BHR
Vanuatu,shame,VUT
Guernsey,life,GGY
Syria,time,SYR
Jordan,free,JOR
Paraguay,heart,PRY
Myanmar,would,MMR
Suriname,ik,SUR
Niger,love,NER
Uzbekistan,qiz,UZB
Kosovo,të,CS-KM
Burundi,na,BDI
Grenada,ah,GRD
Maldives,lights,MDV
Honduras,yo,HND
Northern Cyprus,bir,-99
Nepal,मल,NPL
Andorra,yeah,AND
Democratic Republic of the Congo,yo,COD
Antigua and Barbuda,workey,ATG
Montenegro,na,MNE
Afghanistan,کجا,AFG
Sri Lanka,ඔබ,LKA
Tanzania,like,TZA
Mauritania,let,MRT
Greenland,jeg,GRL
Libya,يا,LBY
Rwanda,mama,RWA
Sudan,cause,SDN
Madagascar,ny,MDG
Sierra Leone,yeah,SLE
Cambodia,dance,KHM
Malawi,iwe,MWI
Saudi Arabia,من,SAU
Botswana,blood,BWA
Guinea,allez,GIN
Mongolia,shoulder,MNG
