,model,vectorization,accuracy
0,SGD,tf-idf,0.6252857142857143
1,LogReg,tf-idf,0.6317142857142857
2,KNN,tf-idf,0.2927142857142857
3,RandFor,tf-idf,0.614
4,GradBoost,tf-idf,0.61
5,SGD,BoW,0.5752857142857143
6,LogReg,BoW,0.5757142857142857
7,KNN,BoW,0.4184285714285714
8,RandFor,BoW,0.6215714285714286
9,GradBoost,BoW,0.6125714285714285
10,SGD,N-grams BoW,0.5964285714285714
11,LogReg,N-grams BoW,0.6207142857142857
12,KNN,N-grams BoW,0.398
13,RandFor,N-grams BoW,0.6128571428571429
14,GradBoost,N-grams BoW,0.6147142857142858
15,NN,tf-idf,0.6
16,NN,BoW,0.603
17,NN,N-grams BoW,0.594
18,Transfer learning NN,Roberta,0.7477142857142857
